TreatmentGroup	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR	IR	IR	IR	sham	sham	sham	sham	IR	IR	IR	IR	sham	sham	sham	sham
Dose-Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|f__Oscillospiraceae_x__L6	0.008682883227989529	0.0023243504476100616	0.004256557088392461	0.006530864338735689	0.018499607808314465	0.0017631213778467065	0.0044905062307716214	0.0033250207813798837	0.0003855926757165597	0.0015190428464044098	0.00453207366331211	0.001322358656051815	0.002653723150899317	0.002343044263775971	0.005888838097286832	0.006784489835337293	0.002024850437183617	0.00450525613215418	0.0033544182480352695	0.008857753902632066	0.003841252503185873	0.001442369607211848	0.00453526165940185	0.004132638000590377	0.00390361616806842	0.004289455464916769
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Paludicola	0.00014365064163953265	0.0001265735392262905	6.124542573226562e-05	0.00011437590785876863	0.00042919090115289555	1.632519794302506e-05	0.0002330712576525063	0.00017584244516912845	0.0	0.0	0.0001369206544807284	4.048036702199433e-05	0.00017011045839098187	0.00011291779584462511	0.00024200704509397942	0.0002897291032884253	6.57418973111564e-05	0.0003522628251478577	0.00019168104274487253	0.00040415607160298404	0.00016384489350081922	0.0	0.00025195898107788055	0.00014759421430679916	0.00010646225912913872	9.030432557719515e-05
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Incertae_Sedis	0.0036231884057971015	0.003544059098336133	0.0038737731775658007	0.0027107090162528163	0.005150290813834747	0.0013223410333850299	0.003822368625501103	0.003356992135046998	0.001601692652976479	0.0033669506389376095	0.008078318614362976	0.001835109971663743	0.0031867359205243937	0.0017784552845528454	0.00868536395170615	0.009657636776280844	0.00164354743277891	0.020134601479503866	0.00879815986198965	0.004731994005018271	0.00828326961587475	0.003657437218287186	0.011539721333366927	0.006715536750959363	0.0031406366443095923	0.003958339604467054
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Anaerotruncus	0.009752282449083828	0.004522127355993832	0.005971429008895898	0.004426347634134346	0.007325844692092528	0.0003428291568035262	0.002377326828055564	0.0014067395613530276	0.0	0.002192432974191932	0.0039570069144930515	0.0012144110106598299	0.0009752999614416294	0.0003669828364950316	0.004356126811691629	0.0010864841373315949	0.0017487344684767603	0.00576598624320967	0.001820969906076289	0.005472946802957075	0.0034589477516839616	0.00051513200257566	0.0018393005618685277	0.0031732756075961823	0.00028389935767770327	0.0015351735348123176
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	6.384472961757006e-05	0.0013577888753365706	0.0007043223959210547	0.0006976930379384886	0.0003995915286595924	0.00858705411803118	0.002408402995742565	0.0015186392991879277	0.001552257694551279	0.0013624404911049862	0.015595262545354966	0.004128997436243422	0.0015423348227449024	0.0014679313459801265	0.0023662911075855763	0.0005311700226954464	0.0006968641114982578	0.0006118249068357528	0.02624113475177305	0.004445716787632824	0.0012197342071727654	0.0128783000643915	0.0008566605356647937	0.0010085604644297942	0.002111501472727918	0.0005418259534631708
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__A2	0.004676626444487008	0.005465675557498907	0.0029244690787156836	0.002161704658530727	0.005416685166274475	0.00031017876091747615	0.00483234407532863	0.0019182812200268559	0.0	0.0038367577048358807	0.005175600739371534	0.0050870327890972875	0.003288802195558983	0.008976964769647697	0.003925892064857888	0.004828818388140422	0.002064295575570311	0.008083504829708734	0.003641939812152578	0.005691864675075358	0.015474239941744038	0.008267868641339344	0.006198190934515861	0.011192561251598938	0.0033003300330033004	0.006652418650853376
d__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium	0.0016280406052480367	0.0847812579108462	0.01848080721471115	0.017042010270956524	0.0016723645458716276	0.02417761815362011	0.0036203735355355977	0.0011349830551825564	0.0786411318628081	0.040779253319969934	0.002081193948107072	0.009364458237754688	0.007087935766290912	0.002851174345076784	0.023232676329022022	0.020667342701241008	0.016961409506278353	0.006730073975193281	0.004523672608778992	0.000303117053702238	0.00030948479883488074	0.001957501609787508	0.0018141046637607397	0.0036406572862343798	0.003442279711842152	0.0013395141627283948
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Tuzzerella	0.0012130498627338313	0.0008630014038156169	0.0006124542573226563	0.0007663185826537498	1.4799686246651571e-05	4.897559382907518e-05	0.0002641474253395071	0.00027175650617047126	0.0	0.0006420696567276372	0.0004655302252344766	0.00031034948050195655	0.0007371453196942548	0.00033875338753387534	0.0022049530775229234	0.0025351296537737215	0.00014463217408454407	0.0011124089215195506	0.002894383745447575	0.0019029015037973832	0.001055889313671946	0.000849967804249839	0.0010582277205270982	0.0007871691429695956	0.0007807232336136839	0.0006622317208994311
d__Bacteria|p__Firmicutes|c__Bacilli|o__RF39|f__RF39|g__RF39	0.0001915341888527102	0.0003682139322946632	0.004486227434888457	0.0018300145257402981	0.0007103849398392754	0.0010774630642396538	0.012150781565617328	0.001694481744357056	3.954796674015997e-05	0.0020514908544224503	0.00035599370164989387	0.00014842801241397922	0.0006123976502075347	0.002060749774164408	0.0020436150474602705	0.0014245014245014246	0.0011965025310630465	0.0005747446094517678	0.0013034310906651332	0.001667143795362309	0.000527944656835973	0.000669671603348358	0.0007054851470180654	0.0015989373216569911	0.0012420596898399517	0.0005568766743927035
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Colidextribacter	0.009911894273127754	0.006673877522840771	0.008298755186721992	0.008292253319760726	0.012653731740887093	0.004881234184964492	0.0072718232387581965	0.009159792825628238	0.00047457560088191966	0.004384865948383864	0.006750188265899911	0.0027526649574956146	0.004933203293338475	0.004657859078590786	0.008093791174809756	0.0073639480419141435	0.0025113404772861745	0.006322190703969446	0.0055587502396013035	0.004782513513968644	0.006226105953031131	0.003786220218931101	0.007508377636120839	0.004157237036308176	0.004098796976471841	0.0029649920231179074
