	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Tafa5	12.2228349214972	17.3091651103341	13.1423509398165	22.6312048040632	21.6933803354028	5.30567473670428	9.70871791602385	12.4819753879888	6.965091954747
Creld2	6.1114174607486	5.76972170344471	2.07510804312893	2.1901165939416	4.50239969225342	7.07423298227237	4.85435895801192	12.4819753879888	6.965091954747
Mlc1	62.8602938819856	115.394434068894	106.522212880618	104.39555764455	83.4990488381544	47.7510726303385	67.961025412167	58.8435982576616	40.0492787397952
Lmf2	5.2383578234988	5.76972170344471	7.60872949147273	8.76046637576641	6.9582540698462	3.53711649113619	8.09059826335321	1.78313934114126	0
Shank3	123.101408852222	143.762232444164	162.550130045099	147.467850658735	127.295118571892	127.336193680903	101.94153811825	146.217425973583	88.8049224230242
Rpl31-ps8	6.9844770979984	13.4626839747043	7.60872949147273	14.600777292944	8.59549032157471	19.454140701249	42.0711109694367	14.2651147291301	13.930183909494
Tcea1-ps1	0	0.961620283907452	0	0.730038864647201	0.818618125864258	3.53711649113619	1.61811965267064	3.56627868228252	0
Cntn1	64.6064131564852	60.1012677442157	45.6523769488364	59.8631869010705	51.1636328665162	28.2969319290895	38.8348716640954	24.9639507759777	36.5667327624217
Gm4335	8.730596372498	3.84648113562981	4.84191876730083	5.8403109171776	6.54894500691407	37.13972315693	29.1261537480715	14.2651147291301	31.3429137963615
Pphln1	0.873059637249799	8.65458255516707	4.15021608625785	2.9201554585888	2.04654531466065	12.3799077189766	6.47247861068257	3.56627868228252	10.4476379321205
Twf1	7.8575367352482	6.25053184539844	6.91702681042976	8.76046637576641	11.4606537620996	3.53711649113619	1.61811965267064	7.13255736456504	3.4825459773735
Slc48a1	33.1762662154924	30.2910389430847	28.359809922762	34.3118266384184	32.3354159716382	22.9912571923852	24.2717947900596	24.9639507759777	15.6714568981807
Pfkm	105.640216107226	91.3539269712079	85.079429768286	90.5248192162529	83.0897397752222	83.1222375417004	63.106666454155	64.1930162810854	88.8049224230242
Kansl2	13.9689541959968	13.9434941166581	12.4506482587736	17.5209327515328	13.0978900138281	28.2969319290895	27.5080340954009	10.6988360468476	26.1190948303012
Adcy6	28.8109680292434	15.3859245425192	24.2095938365041	24.0912825333576	28.2423253423169	35.3711649113619	40.452991316766	33.879647481684	26.1190948303012
Ddx23	27.0648487547438	28.8486085172236	31.1266206469339	47.452526202068	23.7399256500635	35.3711649113619	37.2167520114248	37.4459261639665	57.4620086266627
Arf3	374.542584380164	494.27282592843	576.188333308799	667.255522287541	485.440548637505	702.117623490533	788.024270850602	554.556335094932	734.817201225808
Kmt2d	63.7333535192354	60.5820778861695	85.771132449329	89.0647414869585	72.4477041389869	91.9650287695408	88.9965808968853	98.0726637627694	99.2525603551447
Tuba1b	55.0027571467374	55.2931663246785	69.1702681042976	88.3347026223113	60.168432251023	136.178984908743	124.595213255639	90.9401063982043	160.197114959181
Tuba1a	137.070363048219	145.685473011979	166.700346131357	168.638977733503	128.113736697756	307.729134728848	339.805127060835	219.326138960375	376.114965556338
Tuba1c	69.844770979984	67.3134198735216	89.2296458545438	73.7339253293673	59.7591231880909	173.318708065673	144.012649087687	121.253475197606	174.127298868675
Mcrs1	17.461192744996	17.3091651103341	26.2847018796331	24.8213213980048	21.6933803354028	30.0654901746576	43.6892306221073	28.5302294582602	26.1190948303012
Faim2	106.513275744476	101.93175009419	98.9134833891455	102.205441050608	121.15548262791	123.799077189767	156.957606309052	130.169171903312	142.784385072313
